Name,Website,Investments
KR1,https://www.kryptonite1.co/,"Lido DAO (LDO)

Phala Network (PHA)

Acala (testnet) 

Kusama (KSM)

ChainX (PCX)

Edgeware (EDG)

Nexus Mutual (NXM)

FOAM (FOAM)

Etherisc DIP Token (DIP)

Dfinity [IOU] (ICP)

Elastos (ELA)

0x (ZRX)

Qtum (QTUM)

Rocket Pool (RPL)

Polkadot (DOT)

OMG Network (OMG)

Enigma (ENG)

Cosmos (ATOM)

Bancor Network Token (BNT)

Augur (REP)

Golem (GLM)

Ethereum (ETH)

"
Placeholder,https://www.placeholder.vc/,"0x (ZRX)

API3 (API3)

Aragon (ANT)

Balancer (BAL)

FOAM (FOAM)

Filecoin (FIL)

Maker (MKR)

Enzyme (MLN)

Nexus Mutual (NXM)

Polkadot (DOT)

UMA (UMA)

Zcash (ZEC)


"
Fenbushi Capital,https://www.fenbushicapital.vc/index_en.html,"Zcash (ZEC)

VeChain (VET)

Siacoin (SC)

Kusama (KSM)

Dfinity [IOU] (ICP)

USD Coin (USDC)

"
FBG Capital,https://www.fbg.capital/,"Ampleforth (AMPL)

FTX Token (FTT)

Nervos Network (CKB)

Maker (MKR)

REN (REN)

Terra (LUNA)

Zilliqa (ZIL)

Metadium (META)


"
Blockchain Capital,https://blockchain.capital/,"1inch (1INCH)

Aave (AAVE)

USD Coin (USDC)

Civic (CVC)

Decred (DCR)

Dfinity [IOU] (ICP)

Filecoin (FIL)

Nervos Network (CKB)

Nexus Mutual (NXM)

Orchid Protocol (OXT)

Power Ledger (POWR)

UMA (UMA)

Uniswap (UNI)

yearn.finance (YFI)"
Ausum Ventures,https://www.ausum.vc/,"Filecoin (FIL)

Oasis Network (ROSE)"
Paradigm,https://www.paradigm.xyz/,"Siacoin (SC)

Uniswap (UNI)

reflect.finance (RFI)

Keep Network (KEEP)

Synthetix Network Token (SNX)

Compound (COMP)"
Sino Global Capital,https://www.sinoglobalcapital.com/,"Mask Network (MASK)

Serum (SRM)

MAPS (MAPS)
"
Spark Digital Capital,https://www.sparkdigitalcapital.com/,"Glitch Protocol (GLCH)

UNION Protocol Governance Token (UNN)

HOPR (HOPR)

Ultrain (UGAS)


"
1confirmation,https://www.1confirmation.com/,"Rally (RLY)

VEIL (VEIL)

Nexus Mutual (NXM)

Nervos Network (CKB)

Augur (REP)

Dai (DAI)
"
Dragonfly Capital Partners,https://www.dcp.capital/,"Wootrade Network (WOO)

1inch (1INCH)

UMA (UMA)

Nervos Network (CKB)

Compound (COMP)

Celo (CELO)

Maker (MKR)

Siacoin (SC)

Cosmos (ATOM)

Near (NEAR)

"
Arrington XRP Capital,http://arringtonxrpcapital.com/,"NEXO (NEXO)

NKN (NKN)

NuCypher (NU)

Fantom (FTM)

CertiK (CTK)

Aergo (AERGO)

Reserve (RSV)

Perlin (PERL)

Terra (LUNA)

Celer Network (CELR)

Kava.io (KAVA)

Algorand (ALGO)

Near (NEAR)

Ampleforth (AMPL)

Marlin (POND)

Nexus Mutual (NXM)

Metadium (META)

"
Digital Finance Group,https://www.dfg.group/,"KIRA Network (KEX)

NuCypher (NU)

Avalanche (AVAX)

Polkadot (DOT)"
Digital Currency Group,https://dcg.co/,"API3 (API3)

USD Coin (USDC)

Civic (CVC)

Decentraland (MANA)

Hedera Hashgraph (HBAR)

Livepeer (LPT)

Mask Network (MASK)

Reserve (RSV)

The Graph (GRT)

Zcash (ZEC)"
Sora Ventures,http://www.sora.vc/,"Origin Protocol (OGN)

Mithril (MITH)

"
Libertus Capital,https://www.libertuscapital.com/,1inch (1INCH)
Infinite Capital,https://infinitecapital.io/,"Synthetix Network Token (SNX)

REN (REN)

Terra (LUNA)

Maker (MKR)

0x (ZRX)

yearn.finance (YFI)

Theta Network (THETA)

Akash Network (AKT)

Ocean Protocol (OCEAN)

xToken (XTK)

Keep Network (KEEP)

DAOstack (GEN)

"
Framework Ventures,https://framework.ventures/,"Aave (AAVE)

Chainlink (LINK)

dHEDGE DAO (DHT)

DODO (DODO)

Edgeware (EDG)

Kava.io (KAVA)

Synthetix Network Token (SNX)

The Graph (GRT)

yearn.finance (YFI)


"
