Name,Website,Investments
9Yards Capital,https://9yardscapital.com/,"Dfinity [IOU] (ICP)

Celo (CELO)

"
Draper Associates,https://draper.vc/,"Tezos (XTZ)

Bancor Network Token (BNT)
"
Andreessen Horowitz,www.a16z.com,"Uniswap (UNI)

Rally (RLY)

Near (NEAR)

Maker (MKR)

Keep Network (KEEP)

Filecoin (FIL)

Dfinity [IOU] (ICP)

Compound (COMP)

Celo (CELO)

Arweave (AR)


"
Kindred Ventures,https://kindredventures.com/,"Nervos Network (CKB)

"
Blue Yard,https://blueyard.com/,"Radicle (RAD)

Decred (DCR)

Filecoin (FIL)
"
Sequoia Capital,www.sequoiacap.com,"Orchid Protocol (OXT)

Ontology (ONT)

IOST (IOST)

Aergo (AERGO)

Band Protocol (BAND)

"
SVAngel,https://www.svangel.com/index,"Kadena (KDA)

Celo (CELO)

Near (NEAR)

Uniswap (UNI)

Flow (FLOW)

"
Foundation Capital,https://foundationcapital.com/,"Algorand (ALGO)

Origin Protocol (OGN)

Orchid Protocol (OXT)

"
Uncorrelated Ventures,https://uncorrelated.com/,"Siacoin (SC)

Cosmos (ATOM)

Maker (MKR)

UMA (UMA)

"
Version One Ventures,https://versionone.vc/,"Arweave (AR)

Celo (CELO)

Nexus Mutual (NXM)

Uniswap (UNI)

"
2020 Ventures,http://www.2020.co/,"USD Coin (USDC)

XRP (XRP)

"
